007	3764
05	3920
06	21189
07	2789
1.0	2927
1.5	6046
1.6	6049
1.75	3047
10	14481
100	11730
1000	4745
10000	3097
11	10025
110	2767
12	7270
123	38439
123.com	11083
12530	6117
126	28627
126.com	12165
13	3016
14	2843
15	3430
16	5295
163	55319
163.com	21375
168	5806
17	4823
17173	4269
176	3054
18	74540
18.com	3167
183	19413
183club	14801
18dy	22115
18dy.com	5670
18girl	2546
19	4312
2.0	6257
20	5965
200	3222
2000	14719
2001	2559
2002	6298
2003	15956
2004	12697
2005	38830
2006	183907
2007	10198
2008	6013
2009	24745
21	9373
22	3804
220	3616
23	4693
24	4204
25	3845
263	3485
265	4014
3.0	3965
30	5815
300	3354
3000	3531
32	6290
35	2920
360	3118
365	28042
365x	7249
365x.com	3562
3721	7101
38	3279
3d	26379
3g	2531
3gp	15817
3p	3013
40	3324
4399	10943
4399.com	3743
5.0	3286
50	5356
500	6207
51	19261
51.com	5481
52	4573
520	4424
55	2834
5566	3862
6.0	8358
60	4953
601	3463
680	2922
7.0	7084
70	6105
72	2515
77	55784
77.com	4799
777	12051
8.0	5571
8.com	3512
80	4428
800	3937
86	2704
88	7225
9.0	4781
90	2853
900	2884
91	3263
95	2680
97	6705
98	17234
98bb	10280
99	13287
999	4042
ac	2965
acdsee	3010
adobe	5454
all	2597
amv	9956
asian	8348
asp	9000
autocad	4886
av	17779
avi	6243
baidu	44614
bb	16816
bbs	17154
bdsm	2567
beyond	2820
big	4620
bl	3558
blog	25498
book	2915
boy	5012
bt	68543
business	27838
cad	7284
cc	4330
cctv	20663
cctv5	3523
cd	6537
cdma	3513
cect	6161
channel	6566
china	5872
chinaren	6603
club	19389
cn	129099
co	2629
com	577213
con	3158
coreldraw	2591
cs	20841
cs1	7404
dell	2844
directx	2646
diy	5126
dj	28733
dll	3747
download	3382
dv	5668
dvd	11143
dy	36130
earth	5567
edu	12622
excel	3990
exe	9210
f4	6401
fifa	2652
flash	61670
focus	2539
free	22815
ftp	2731
fucking	2536
gay	24150
gb	8455
gba	7786
ghost	3322
gif	2850
girl	27847
girls	9368
google	21853
gov	11544
gp	17092
gps	3481
hao	21654
hao123	18004
hk	2882
home	2705
hot	6960
hotmail	5798
hp	4665
htm	8614
html	7605
http	114338
ibm	4072
id	3461
ie	9760
ii	2920
im	7497
img	9052
index	5933
inurl	3431
ip	6838
iso	3392
japan	6772
japanese	5872
java	3836
jh	5149
jj	12350
job	4595
jp	2634
jpg	5404
k7k	2693
kb	4762
key	3733
kiss	4149
ktv	3094
kugoo	3110
lg	4166
link	22357
lrc	2761
mail	4265
man	4563
max	3028
media	4991
microsoft	4667
mm	27848
moto	2963
movie	10464
movies	11959
mp	148145
mp3	105283
mp4	39201
msn	17210
mtv	62270
music	3705
mv	29282
my	17129
nba	16153
net	53044
news	2607
nokia	8740
nude	5555
office	11242
office2003	2687
old	3509
